id,disk,offset,jp,en
s_000010,Alshark (System disk).hdm,0x078077,"配下ﾆ、３人ﾉ将軍が居ﾙﾝだ。0_4ミュントス人5最近、Ｚ１２７恒星系ﾆ配備ｻﾚﾀ要塞バルバスﾉ総司令、通称、氷ﾉララウェル。0_4ミュントス人5バイオソルジャｰ部隊「ブラックビｰスト」ｦ率ｲﾙ、通称、@ビｰスト・バイデン。0_4ミュントス人5ｿｼﾃ、帝国宙軍ﾉ智将、ノベルサリバン。0_4ミュントス人5ｺﾉ３人がｲﾙｵｶげで、ウュリア王国ﾊ、相当、窮地ﾆ立ﾀｻﾚﾃｲﾙﾗｼｲ。","Jagma has three top generals. First is Ice Lalawel Dorian, commander of the fortress Barbas. Next is Beast Bayden, who leads the Black Beast, his elite biosoldier unit. And finally, the Zolius tactical genius, Sky-Victory Flag Sullivan. With them on the offensive, the Kingdom of Ulyria is on its last legs."
s_000013,Alshark (System disk).hdm,0x07C0A5,"要塞バルバスﾊ、冷凍攻撃ｦ@ｼｶｹﾃｸﾙ敵が多ｲﾗｼｲぞ。ﾅﾝｾ、敵ﾊ「氷ﾉ$","Apparently there are many enemies in the fortress Barbas who use freezing attacks. After all, the enemy is ``Ice $"
s_000014,Alshark (System disk).hdm,0x079004,"呼び覚ﾏｽ。@　遠ｸ忘ﾚ去ﾗﾚｼ面影ｦ」0_4酔ｯぱﾗｲ5どｳだ？@ｲｲ詩だﾛｳ。","""...awakens the long-forgotten phantom."" Heh. Good, huh?"
s_000015,Alshark (System disk).hdm,0x0768CF,"カｰマｶ‥‥‥!@シオン‥‥ﾏﾀｲﾂｶ‥戦場で‥相ﾏﾐｴﾙ日がｸﾙだﾛｳ‥‥0_4$","So, this is karma... Sion... We'll meet again on the battlefield."
s_000016,Alshark (System disk).hdm,0x0176A5,"シオン。@ｲｸﾗﾜｼがメカﾉ天才でﾓ、@スクラップがﾅｸﾁｬｱ、どｳｼ@ﾖｳﾓﾅｶﾛｳが。","Sion, I'm a genius, but even I need SCRAP to work with."
s_000017,Alshark (System disk).hdm,0x0179A0,"ゾークによってカーマを@その肉体に封じることなく@葬りさってしまった。@そして、カーマはシオン達を@襲う","Zork destroyed the vessel, but didn't seal Karma's spirit! Now it's free... and it's after us!"
s_000018,Alshark (System disk).hdm,0x0533D2,"ゾリアス人5祖国ﾉ連中ﾉﾎﾄﾝどが、ジャグマ総帥ﾉ姉上でｱﾗﾚﾙララウェル様ｦ教祖ﾄｽﾙサンタナ教ﾉ教ｴﾆｶぶﾚﾃｼﾏｯﾀ。0_悲ｼｲｺﾄだ。","Most of the Zorians from their homeland have become obsessed with the teachings of the Santana religion, whose founder is Lord Larawel, the older sister of Commander Jagma. _That's sad."
s_000019,Alshark (System disk).hdm,0x0549AF,"ごﾒﾝﾅｻｲ。@宇宙船ﾊｽばﾗｼｲﾄ思ｳﾝでｽｹど、ｵじ様ﾉﾂｹﾗﾚﾀ名前がﾁｮｯﾄ・・・ﾈｪ、シオン？0_4$","I love the ship, but... that name Joe gave it is kinda... weird. Right, Sion?"
s_000020,Alshark (System disk).hdm,0x05A9A8,"幼児施設ﾉボランティアじｬﾈｪﾝでﾅ。@用事がｱﾙﾝﾅﾗ、早ｲﾄｺｽﾏｾﾃｸﾝﾅ。0_4$","This ain't a daycare. You want something, spit it out."
s_000021,Alshark (System disk).hdm,0x060555,"ウェルダｦ中心ﾄｼﾃ、坑道ｦ@6突ｷ進ﾝでｲｯﾀシオン達ﾉ見ﾀ6ﾓﾉﾊ、赤緑色ﾉ腐汁ｦﾏｷ散ﾗ6ｼﾅがﾗ数限ﾘﾅｸモンスタｰｦ6産ﾐだｽ怪物だｯﾀ。0?F","Werda led them deep into the mines. What they found was a horror: a beast birthing endless monsters from its own putrid ooze."
s_000022,Alshark (System disk).hdm,0x061439,"来ﾃｸﾚﾀﾜﾈ。@ｵ茶でﾓ飲ﾝでｲｯﾃﾁｮｳだｲ0_6シオン達ﾊ、シャイナﾄ楽ｼｲ@6一時ｦ過ごｼﾀ。?H","Shaina welcomed them. 'I'm so glad you came! Please, stay for some tea.'"
s_000023,Alshark (System disk).hdm,0x062915,"突然ﾉ声ﾆシオン達ﾊ、驚ｲﾀ。6ｲﾂﾉﾏﾆｶ、周囲ｦマモンﾄ@6無法者ﾆ変装ｼﾀゾリアス兵ﾆ@6取ﾘ囲ﾏﾚﾃｲﾀ。0?C","A voice rings out! Sion's party is ambushed--surrounded by Zolius troops in disguise!"
s_000024,Alshark (System disk).hdm,0x06C6A7,"陣頭指揮ﾆ当ﾀｯﾃｲﾙﾉﾊ、@ゾリアス総統ジャグマ・ドリアンﾉ実姉ララウェル将軍だﾄｶ。","The person in charge is General Larawell, the real sister of Xorious President Jagma Dorian."
s_000025,Alshark (System disk).hdm,0x07137B,"俺達、ゾリアス人ﾊ、ジャグマﾉ家系が使ｳｺﾄﾉでｷﾙ特殊精神波ｦ浴びﾙﾄ、逆ﾗｴﾅｸﾅｯﾁﾏｳｶﾗﾅ。","If we, the Zorias, are exposed to the special spiritual waves that the Jaguma family can use, we won't be able to resist."
s_000026,Alshark (System disk).hdm,0x074526,"実際ﾊ、全ﾃ仕組ﾏﾚﾀｺﾄで、バイオビｰストﾉ部隊ｦ創ﾘ出ｽﾀﾒﾉジャグマﾉ企ﾐだｯﾀﾄｲｳﾜｹだ。0_4$","In reality, it was all a set up, Jagma's plan to create an army of bio-beasts. $"
s_000027,Alshark (System disk).hdm,0x074B71,"ジャグマｦ倒ｽﾂﾓﾘだｯﾀﾗ、惑星サｰタリアﾍ行ｹ。ｵﾏｴﾉ持ｯﾃｲﾙ武器でﾊ、@ジャグマｦ倒ｽｺﾄﾊでｷﾝ！","If you want to defeat Jagma, go to the planet Sartaria. You can't defeat Jagma with the weapons you have!"
s_000028,Alshark (System disk).hdm,0x076702,"だ、ﾜｶﾝﾈｪﾉｶ！@ｱﾚが、カｰマだ！！@奴ﾓジャグマﾓ、自分ﾉ意志で、行動ｼﾁｬｲﾈｪﾝだﾖ！！0_4$","Don't you get it!? That's Karma! It's controlling Jagma! They're both just puppets!"
s_000029,Alshark (System disk).hdm,0x076CDD,"ジャグマﾊ、ｿﾉ強ｲ思念で、@自分ﾆ侵入ｼﾃｷﾀカｰマｦ@押ｻｴﾂｹﾃ、精神ｦ融合ｻｾ@ﾅｲでｲﾙﾉﾖ。0_4$","Jagma's will is strong. He's resisting Karma, preventing a full mental fusion."
s_000030,Alshark (System disk).hdm,0x07D2C5,"帝国軍ﾉ最終兵器ｯﾃﾉﾊ、@ｲｯﾀｲ‥‥0@シオン、事ﾊ風雲急ｦ告げﾃ@ﾔがﾙぜ。","The Empire's ultimate weapon... Sion, things are heating up fast."
s_000031,Alshark (System disk).hdm,0x0A2B0C,"が、カｰマだ！！@奴ﾓジャグマﾓ、自分ﾉ意志で、行動ｼﾁｬｲﾈｪﾝだﾖ！！0_4$","Karma's the one in control! Jagma's just its puppet"
s_000032,Alshark (System disk).hdm,0x0175F2,"任ｾﾄｶﾝｶｲ！@どﾝﾅﾓﾝでﾓ、ｺﾉスクラップ@ジョー様ﾆｶｶﾚば、ｱｯﾄｲｳ@間ﾖ！！","Trust ol' Scrap Joe! I can build or fix anything in a heartbeat!"
s_000033,Alshark (System disk).hdm,0x017633,"シオン、兵器ｦ造ｯﾃﾓ、格納庫@ﾆ空ｷがﾅｸﾁｬｱ、話ﾆﾅﾗﾝ@ぞ！！","Shion, even if you build weapons, it won't matter if you don't have space in the hangar! !"
s_000034,Alshark (System disk).hdm,0x01770F,"シオン。@タンクﾅﾝぞ、どｺｦ見ﾃﾓﾅｲ@じｬﾅｲｶ。@若ｲｳﾁﾊ歩ｶﾝﾄｲｶﾝぞ！","Sion, forget the tank. A little walk'll do you good!"
s_000035,Alshark (System disk).hdm,0x0628F9,"死ﾝでﾓﾗｯﾀﾉでｽﾖ」0#M","I asked him to die.”"
s_000036,Alshark (System disk).hdm,0x076883,"シオン達ﾊ、ラッセルガイヤｰｦ6脱出ｼﾀ。0?I","Sion's party escaped the Russelgaia."
s_000037,Alshark (System disk).hdm,0x01777B,"シオン。@ファイターﾅﾝぞ、どｺｦ見ﾃﾓ@ﾅｲじｬﾅｲｶ。","Zion. There are no fighters anywhere."
s_000038,Alshark (System disk).hdm,0x0174F0,"シオン。@格納庫ﾉ中ﾆｬｱ、何ﾓ収容ｻﾚ@ﾄﾗﾝぞ！","Zion. Nothing can be stored inside the hangar!"
s_000039,Alshark (System disk).hdm,0x00AFFD,"シオンﾉＰＰが不足ｼﾃｲﾃ@使用ｽﾙｺﾄがでｷﾏｾﾝ。","Shion's PP is insufficient and cannot be used."
s_000040,Alshark (System disk).hdm,0x0177AC,"シオン。@タンクﾅﾝぞ、どｺｦ見ﾃﾓ@ﾅｲじｬﾅｲｶ。","Zion. There are no tanks anywhere."
s_000041,Alshark (System disk).hdm,0x051EF2,"父ｻﾝ！@ﾄｵｩｻｰｰｰﾝ！！！！@畜生ｩ！！ｱｲﾂﾗ、ｱﾉゾリアス兵どﾓ・・・絶対ﾆ許ｻﾅｲ！0#P","Dad! DAD!!! Damn them! Those Zolius scum... I'll make them pay!"
s_000042,Alshark (System disk).hdm,0x052438,"娘5ｺｺﾊ、ハマックﾉ町ﾖ。0@私ﾉ名前ﾊ、ジェｰン。@ｱﾅﾀﾊ？0@43名前ｦ教ｴﾃﾔﾙｶ？0#Y","This is the town of Hamack. My name is Jane. And you are?"
s_000043,Alshark (System disk).hdm,0x052668,"ハマック・アｰミｰショップ5兄ﾁｬﾝ、武器ｦ買ｳﾅﾗ、少々無理ｦｼﾃでﾓ、ｲｲﾓﾝ選ﾝどｲﾀﾎｳがｲｲぜ。@0ﾄｺﾛで、何ﾆｽﾙﾝだ？0#G","My advice? Don't skimp on weapons. A few extra CREDIT now will save your hide later. What'll it be?"
s_000044,Alshark (System disk).hdm,0x0526DE,"ハマック・アイテムショップ5ｲﾗｯｼｬｲﾏｾ。@何ｶ、ご入ﾘﾖｳでｼｮｳｶ？0#G","Welcome. How may I help you?"
s_000045,Alshark (System disk).hdm,0x05274E,"支配人5安ｲ・綺麗・安心ﾉＰＴホテルでござｲﾏｽ。@ご宿泊ﾊ、１０クレジットﾆﾅﾘﾏｽが？0#Y","Welcome to the PT Hotel: cheap, clean, and safe! A room is 10 CREDIT. Stay the night?"
s_000046,Alshark (System disk).hdm,0x052E24,"アルバイトで在庫整理ﾔｯﾃﾝだｹど、１人じｬ大変で・・・。0@ｿｳだ、手伝ｯﾃﾐﾅｲ？0#Y","I'm trying to sort the inventory, but I'm totally swamped... Hey, wanna help?"
s_000047,Alshark (System disk).hdm,0x053642,"達ﾉ捜ｼﾃﾙ女だｯﾀﾗ、宇宙港ﾍ行ｸﾉｦ見ｶｹﾀ奴がｲﾙぜ。@0ｵｿﾗｸ、惑星マｰズ行ｷﾉ航宙船ﾆﾉｯﾀﾝじｬﾈｪｶﾅ。#S","The woman you're looking for? Word is she went to the spaceport. Probably on a ship to Mars."
s_000048,Alshark (System disk).hdm,0x05390E,"俺ﾉ考ｴじｬｱ、ｱﾉ鉱山ﾉ奥ﾆﾊ、何ｶﾄﾝでﾓﾈｪ化ｹﾓﾝが住ﾝでｲﾙﾖｳﾅ気がｽﾙぜ。#S","In my opinion, it feels like there's some kind of horrible monster living deep inside that mine."
s_000049,Alshark (System disk).hdm,0x053DEE,"ハイグレネｰドﾊ、市価じｬｱ@３２０クレジットだが、@２５％オフﾉ２４０クレジットで売ｯﾃﾔﾛｳ。0#Y","High Grenades go for 320 CREDIT on the street, but I'll sell you one for 240. 25% off."
s_000050,Alshark (System disk).hdm,0x053E56,"目ｦﾂｹﾙﾄﾊ、@ﾅｶﾅｶﾔﾙじｬﾈｪｶ。0_出血大サｰビスで、@２３２０クレジットでどｳだ？0#Y","You've got a good eye. Tell you what, I'll cut my own throat... 2320 CREDIT?"
s_000051,Alshark (System disk).hdm,0x053EA7,"三ﾂ葉ﾉ紋章ｶ。@ｺｲﾂﾊﾁｮｯﾄ高ｲぜ。@手ﾆｲﾚﾙﾉが大変だｶﾗﾅ。0_１２００クレジットでどｳだ？0#Y","The three-leaf crest... That's a rare one, and tough to get. It'll cost you. 1200 CREDIT?"
s_000052,Alshark (System disk).hdm,0x054C4F,"航行不能状態ﾉ民間航宙6艇だｯﾀ。@6ｿｼﾃ、ｿﾉ影ﾆ隠ﾚﾙﾖｳﾆ@6ｼﾃ接舷ｼﾃｲﾀﾉﾊ‥‥‥0#Z","A civilian ship, dead in the water. And using it for cover, another ship..."
s_000053,Alshark (System disk).hdm,0x0550F8,"心外だﾈ・・・ﾏｱ、ｲｲ。行ｺｳｶ。0_4シャイナ5ﾁｮｯﾄ、私ﾉ質問ﾆ答ｴﾅｻｲﾖ！！0_仮ﾆﾓ、マｰズ連邦最大ﾉ兵器メｰカｰ、パｰフェクトテクニカル社ﾉ社長令嬢ｦ前ﾆｼﾃ失礼じｬﾅｲ！！0_4ゾリアス兵5だｧｰ！ｳﾙｾｪ小娘だ！@殺ｼﾃﾔﾙ！！0#V","Hmph. Fine. Let's go. Hey! Answer me! My father runs Perfect Technical, the Federation's top arms maker! You can't just ignore me! Gah! Annoying brat! I'll shut you up for good!"
s_000054,Alshark (System disk).hdm,0x055745,"君ﾏでﾓが、私ﾉ使命ｦ妨げﾖｳﾄｲｳﾉｶ。@仕方がﾅｲ・・・・？！#V","Are you trying to hinder my mission? I can't help it····? !"
s_000055,Alshark (System disk).hdm,0x055811,"２本ﾉ後ﾛﾍ長ｸ伸びﾀ金髪ｦ@6振ﾘ乱ｼ、右肩ﾆ搭載ｻﾚﾀ小型6核融合炉ｶﾗ発ｾﾗﾚﾙタｰビン6ﾉ回転音ｦ低ｸ響ｶｾﾅがﾗ、女6ﾊ立ｯﾃｲﾀ。0#Z","The woman stood, her long blonde hair whipping as the mini-fusion reactor on her shoulder hummed."
s_000056,Alshark (System disk).hdm,0x055922,"が反応ｽﾙﾖﾘ6ﾓ早ｸゾリアス兵ﾊ、シャイナｦ6盾ﾆﾄｯﾃ、ｿﾉ喉ﾓﾄﾆ銃口ｦ6突ｷﾂｹﾃｲﾀ。0#Z","In a flash, the Zolius soldier grabbed Shaina, gun to her throat."
s_000057,Alshark (System disk).hdm,0x055B74,"方ﾍ突ｷ飛6ばｽﾄ同時ﾆ、エアロックﾍﾄ走6ﾘ込ﾝだﾉでｱﾙ。@#V","Shoving them aside, she dashed into the airlock."
s_000058,Alshark (System disk).hdm,0x055CDC,"がシャイナﾄ6並ﾝでﾐﾃ、ｿﾉ大ｷｻﾆ改ﾒﾃ6驚ｲﾀ。彼女ﾉ身長ﾊ、優ﾆ２メ6ｰトルﾊ越ｴﾙだﾛｳ。0#Z","Next to Shaina, her height was shocking. She had to be over 2 meters tall."
s_000059,Alshark (System disk).hdm,0x055F60,"達ﾊ、女戦士ﾆ6ﾅｶば連行ｻﾚﾙﾖｳﾆｼﾃ、@6コズミックホｰクﾉステｰション6ﾍ行ｸｺﾄﾆﾅﾙ。0#S","The warrior woman practically dragged them to the Cosmic Hawk's station."
s_000060,Alshark (System disk).hdm,0x05680A,"貴方が持ｯﾃｲﾙサイコリングｦ貸ｼﾃﾓﾗｴﾅｲだﾛｳｶ。0_6ベックﾊ、一瞬、困惑ﾉ表情ｦ@6見ｾﾀ。0#P","Let me borrow your Psycho Ring. Beck looked confused for a moment."
s_000061,Alshark (System disk).hdm,0x056AF6,"だが、ｿﾉリングでﾊ、サイコ@ジェネレｰタｰぐﾗｲｶﾗｼｶ@身ｦ守ﾙｺﾄﾊでｷﾇ。0#P","That ring's only good against something like a Psycho Generator."
s_000062,Alshark (System disk).hdm,0x056EC1,"作戦が成功ｼﾃ、ラッセル@ガイヤｰﾉ主動力ｦ爆破ｼﾀﾄｼﾃﾓ、本体ﾏで破壊ｽﾙｺﾄﾊ@到底ｶﾅﾜﾅｲだﾛｳ。0#P","Blowing up the Russelgaia's engine won't be enough to destroy the whole ship."
s_000063,Alshark (System disk).hdm,0x056F19,"但ｼ、帝国宙軍ﾉ動ｷﾊ止ﾒﾗﾚﾙだﾛｳｶﾗ、帝国ﾉ研究施設で新兵器ｦ奪ｲ取ﾙ時間ｸﾗｲﾊ、稼げﾙﾊずだ。0#P","However, since the movements of the Imperial Air Force will be stopped, we should be able to buy some time to seize new weapons from the Empire's research facilities."
s_000064,Alshark (System disk).hdm,0x057089,"イｰストサイドホテル5ｲﾗｯｼｬｲﾏｾ。@ご宿泊ﾊ、１０クレジットﾆﾅﾘﾏｽが？0#Y","East Side Hotel. Welcome! A room's 10 CREDIT. Wanna stay?"
s_000065,Alshark (System disk).hdm,0x057154,"セントラル・テスウィル5ﾖｳｺｿ、ｲﾗｯｼｬｲﾏｼﾀ。0_全ﾃﾉサｰビス料ｦ含ﾒﾏｼﾃ、３０クレジットﾆﾅﾘﾏｽが、ご宿泊ﾅｻｲﾏｽｶ？0#Y","Welcome to the Central Teswil. A room is 30 CREDIT, all-inclusive. Will you be staying with us?"
s_000066,Alshark (System disk).hdm,0x057303,"当店でﾊ、マｰズ連邦ﾉ最新技術ｦ駆使ｼﾃ開発ｻﾚﾀ砲塔ｦ取ﾘ揃ｴﾃｲﾏｽが‥‥0_何ﾆﾅｻｲﾏｽｶ？#G","Our store has a selection of turrets developed using Mars Federation's latest technology... What would you like?"
s_000067,Alshark (System disk).hdm,0x057695,"スクラッパｰズ商会5ヘイ！！ｯﾗｯｼｬｲ。@スクラップﾆ関ｽﾙご用命ﾊ、全ﾃ承ﾘﾔｼｮｳ。0#G","Scrappers Co. Hey, welcome! If it's about SCRAP, you've come to the right place."
s_000068,Alshark (System disk).hdm,0x05794A,"客ｻﾝ！掘ﾘ出ｼ物がｱﾙﾝでｽｹど、５００クレジットでｲｶがでｽｶ？0_中古でｽｹど、ﾏだﾏだ使ｴﾙジェットホバｰでｽﾖ！@@@43買ｲﾏｽｶ？0#Y","Hey! Got a real gem for ya, 500 CREDIT. It's a used Jet Hover, but she still runs like a dream! So, you buyin'?"
s_000069,Alshark (System disk).hdm,0x059BC5,"ラッセルガイヤｰﾉ@航路が割ﾘ出ｾﾀぞ！@急ｲで、アトライアﾆ引ｷ上げﾙﾝじｬｨ！#S","I've got the Russelgaia's flight path! Get back to the Atlia on the double!"
s_000070,Alshark (System disk).hdm,0x05B067,"ＰＴホテル　イン　ザジル5ご宿泊でｼﾀﾗ、２０クレジットﾆﾅﾘﾏｽが？0#Y","Welcome to the PT Hotel in Zajil. A room is 20 CREDIT. Staying?"
s_000071,Alshark (System disk).hdm,0x05B1B2,"スクラッパｰズ5ﾎｲ　ﾎｲ　ﾎｲ　ﾎｲ。@スクラップがﾎｼｹﾘｬ、好ｷﾅだｹ持ｯﾃｷﾅ。0#P","Scrappers. C'mon, c'mon. Need SCRAP? Help yourself to the pile."
s_000072,Alshark (System disk).hdm,0x05B519,"少々、痛ｲ目ｦ見ﾅｲﾄﾜｶﾝﾈｪﾖｳだﾅ。0_貴様ﾗ、ウジ虫どﾓﾉ腕ﾉ１本ﾔ２本、合法的ﾆﾍｼ折ｯﾃﾔﾙｺﾄﾓでｷﾙﾝだぜ。0#P","Looks like you need a painful lesson. I'm legally allowed to break an arm or two, maggots."
s_000073,Alshark (System disk).hdm,0x05BC57,"が、頭ﾉ切ﾚﾙ奴で、@着任後、ゾリアス軍ﾉ前線ﾆ@ｵｹﾙ破壊活動ﾉ総指揮ﾏで任ｻﾚﾃｲﾙﾗｼｲ。0#P","He's a sharp one. They put him in charge of all Zolius frontline sabotage."
s_000074,Alshark (System disk).hdm,0x05BD42,"で、ｿｲﾂが、惑星ポレダﾆｱﾙ帝国星軍前線基地ﾆ現在滞在中ﾗｼｲ。0#P","So, it seems that he is currently staying at the Imperial Star Force's front-line base on the planet Poreda."
s_000075,Alshark (System disk).hdm,0x05BD80,"基地ﾆﾊ、総司令官ﾉビｰスト・バイデンﾓｲﾂﾓﾅﾗｲﾙﾊず@ﾅﾝだが、ララウェルﾆ呼ばﾚﾃ今ﾊ、留守ﾆｼﾃｲﾙ。0#P","Commander Beast Bayden is usually at the base, but Lalawel summoned him away."
s_000076,Alshark (System disk).hdm,0x05C0AD,"達が、司令室ﾆ入ｯﾃｲｸ6ﾄ、正面ﾉテｰブルﾆ腰掛ｹﾃ@6ｲﾀ人物が立ﾁ上がﾘ、ジョｰﾆ6向ｶｯﾃ右手ｦ差ｼ出ｼﾀ。0#P","Upon entering the command room, a man sitting on the table ahead rose and held out his hand to Joe."
s_000077,Alshark (System disk).hdm,0x05C145,"ジョｰ・コンプスン。@皆、スクラップ・ジョｰﾄ呼ﾝどﾙ。0#P","The name's Joe Compson. Most folks call me Scrap Joe."
s_000078,Alshark (System disk).hdm,0x05C331,"君達ﾄチｰムｦ組ﾝでﾓﾗｳｺﾄﾆﾅﾙ我がチャウスノｰミュﾉ誇ﾙエｰスｦ紹介ｼﾖｳ0ミュレッツ君、入ﾘﾀﾏｴ！!#M","Let me introduce you to the proud ace of Chow Nomu, who will be forming a team with you. Muletz, come on in! !"
s_000079,Alshark (System disk).hdm,0x05C5E9,"研究費ﾓﾅｼﾆ、ウュリアﾉ科学水準ﾆ追ｲﾂｹｯﾃﾉﾓ、無理ﾅ話だﾖ、ﾏｯﾀｸ。#S","It would be impossible to catch up with Urria's scientific level without research funds, at all."
s_000080,Alshark (System disk).hdm,0x05C959,"チャウﾊ、コズミックホｰクﾉ、ｿｼﾃ、スノｰミュﾊ、マｰズ連邦宙軍ﾉ略称ﾅﾉﾖ。#A","Chow is the abbreviation for Cosmic Hawk, and Snowmyu is the abbreviation for the Mars Federation Space Force."
s_000081,Alshark (System disk).hdm,0x05CDEC,"惑星ビュｰトﾊ、@マｰズ連邦ﾉ第１開発計画ﾉ対象ﾆﾅｯﾃｲﾙＭ８６１恒星系ﾆ@ｱﾘﾏｽ。0#P","Planet Bute is in the M861 system, a Phase 1 Mars Federation colony."
s_000082,Alshark (System disk).hdm,0x05CE38,"研究室ﾆ行ｹば、恒星間移動ﾉ@でｷﾙエンジンｦ支給ｼﾃｸﾚﾙﾊずでｽ。0#G","Head to the lab. They'll give you an interstellar drive."
s_000083,Alshark (System disk).hdm,0x05D042,"ベスタｰ准将ﾊ、部屋ﾉ明ｶﾘ@6ｦ消ｼ、モニタｰﾉスイッチｦｲ6ﾚﾙﾄ、今回ﾉ任務ﾆﾂｲﾃ説明6ｦ始ﾒﾀ。0#P","Vester dimmed the lights, turned on the monitor, and started to explain the mission."
s_000084,Alshark (System disk).hdm,0x05D099,"ずﾊ、ｺﾉ写真ｦ見ﾃﾓﾗｵｳ0_6彼がｿｳｲｳﾄ、１枚ﾉ写真が@6モニタｰ上ﾆ投影ｻﾚﾀ。0#P","'First, take a look at this.' A photo appeared on the monitor."
