id,disk,offsetHex,jp,old_en,new_en,method,confidence
s_000017,Alshark (System disk).hdm,0x0179A0,"ゾークによってカーマを@その肉体に封じることなく@葬りさってしまった。@そして、カーマはシオン達を@襲う","[UNTRANSLATED]","Zork destroyed the vessel, but didn't seal Karma's spirit! Now it's free... and it's after us!",byId,1.00
s_000019,Alshark (System disk).hdm,0x0549AF,"ごﾒﾝﾅｻｲ。@宇宙船ﾊｽばﾗｼｲﾄ思ｳﾝでｽｹど、ｵじ様ﾉﾂｹﾗﾚﾀ名前がﾁｮｯﾄ・・・ﾈｪ、シオン？0_4$","[UNTRANSLATED]","I love the ship, but... that name Joe gave it is kinda... weird. Right, Sion?",byId,1.00
s_000020,Alshark (System disk).hdm,0x05A9A8,"幼児施設ﾉボランティアじｬﾈｪﾝでﾅ。@用事がｱﾙﾝﾅﾗ、早ｲﾄｺｽﾏｾﾃｸﾝﾅ。0_4$","[UNTRANSLATED]","This ain't a daycare. You want something, spit it out.",byId,1.00
s_000021,Alshark (System disk).hdm,0x060555,"ウェルダｦ中心ﾄｼﾃ、坑道ｦ@6突ｷ進ﾝでｲｯﾀシオン達ﾉ見ﾀ6ﾓﾉﾊ、赤緑色ﾉ腐汁ｦﾏｷ散ﾗ6ｼﾅがﾗ数限ﾘﾅｸモンスタｰｦ6産ﾐだｽ怪物だｯﾀ。0?F","[UNTRANSLATED]","Werda led them deep into the mines. What they found was a horror: a beast birthing endless monsters from its own putrid ooze.",byId,1.00
s_000022,Alshark (System disk).hdm,0x061439,"来ﾃｸﾚﾀﾜﾈ。@ｵ茶でﾓ飲ﾝでｲｯﾃﾁｮｳだｲ0_6シオン達ﾊ、シャイナﾄ楽ｼｲ@6一時ｦ過ごｼﾀ。?H","[UNTRANSLATED]","Shaina welcomed them. 'I'm so glad you came! Please, stay for some tea.'",byId,1.00
s_000023,Alshark (System disk).hdm,0x062915,"突然ﾉ声ﾆシオン達ﾊ、驚ｲﾀ。6ｲﾂﾉﾏﾆｶ、周囲ｦマモンﾄ@6無法者ﾆ変装ｼﾀゾリアス兵ﾆ@6取ﾘ囲ﾏﾚﾃｲﾀ。0?C","[UNTRANSLATED]","A voice rings out! Sion's party is ambushed--surrounded by Zolius troops in disguise!",byId,1.00
s_000028,Alshark (System disk).hdm,0x076702,"だ、ﾜｶﾝﾈｪﾉｶ！@ｱﾚが、カｰマだ！！@奴ﾓジャグマﾓ、自分ﾉ意志で、行動ｼﾁｬｲﾈｪﾝだﾖ！！0_4$","[UNTRANSLATED]","Don't you get it!? That's Karma! It's controlling Jagma! They're both just puppets!",byId,1.00
s_000029,Alshark (System disk).hdm,0x076CDD,"ジャグマﾊ、ｿﾉ強ｲ思念で、@自分ﾆ侵入ｼﾃｷﾀカｰマｦ@押ｻｴﾂｹﾃ、精神ｦ融合ｻｾ@ﾅｲでｲﾙﾉﾖ。0_4$","[UNTRANSLATED]","Jagma's will is strong. He's resisting Karma, preventing a full mental fusion.",byId,1.00
s_000030,Alshark (System disk).hdm,0x07D2C5,"帝国軍ﾉ最終兵器ｯﾃﾉﾊ、@ｲｯﾀｲ‥‥0@シオン、事ﾊ風雲急ｦ告げﾃ@ﾔがﾙぜ。","[UNTRANSLATED]","The Empire's ultimate weapon... Sion, things are heating up fast.",byId,1.00
s_000031,Alshark (System disk).hdm,0x0A2B0C,"が、カｰマだ！！@奴ﾓジャグマﾓ、自分ﾉ意志で、行動ｼﾁｬｲﾈｪﾝだﾖ！！0_4$","[UNTRANSLATED]","Karma's the one in control! Jagma's just its puppet",byId,1.00
s_000032,Alshark (System disk).hdm,0x0175F2,"任ｾﾄｶﾝｶｲ！@どﾝﾅﾓﾝでﾓ、ｺﾉスクラップ@ジョー様ﾆｶｶﾚば、ｱｯﾄｲｳ@間ﾖ！！","[UNTRANSLATED]","Trust ol' Scrap Joe! I can build or fix anything in a heartbeat!",byId,1.00
s_000034,Alshark (System disk).hdm,0x01770F,"シオン。@タンクﾅﾝぞ、どｺｦ見ﾃﾓﾅｲ@じｬﾅｲｶ。@若ｲｳﾁﾊ歩ｶﾝﾄｲｶﾝぞ！","[UNTRANSLATED]","Sion, forget the tank. A little walk'll do you good!",byId,1.00
s_000036,Alshark (System disk).hdm,0x076883,"シオン達ﾊ、ラッセルガイヤｰｦ6脱出ｼﾀ。0?I","[UNTRANSLATED]","Sion's party escaped the Russelgaia.",byId,1.00
s_000041,Alshark (System disk).hdm,0x051EF2,"父ｻﾝ！@ﾄｵｩｻｰｰｰﾝ！！！！@畜生ｩ！！ｱｲﾂﾗ、ｱﾉゾリアス兵どﾓ・・・絶対ﾆ許ｻﾅｲ！0#P","[UNTRANSLATED]","Dad! DAD!!! Damn them! Those Zolius scum... I'll make them pay!",byId,1.00
s_000042,Alshark (System disk).hdm,0x052438,"娘5ｺｺﾊ、ハマックﾉ町ﾖ。0@私ﾉ名前ﾊ、ジェｰン。@ｱﾅﾀﾊ？0@43名前ｦ教ｴﾃﾔﾙｶ？0#Y","[UNTRANSLATED]","This is the town of Hamack. My name is Jane. And you are?",byId,1.00
s_000043,Alshark (System disk).hdm,0x052668,"ハマック・アｰミｰショップ5兄ﾁｬﾝ、武器ｦ買ｳﾅﾗ、少々無理ｦｼﾃでﾓ、ｲｲﾓﾝ選ﾝどｲﾀﾎｳがｲｲぜ。@0ﾄｺﾛで、何ﾆｽﾙﾝだ？0#G","[UNTRANSLATED]","My advice? Don't skimp on weapons. A few extra CREDIT now will save your hide later. What'll it be?",byId,1.00
s_000044,Alshark (System disk).hdm,0x0526DE,"ハマック・アイテムショップ5ｲﾗｯｼｬｲﾏｾ。@何ｶ、ご入ﾘﾖｳでｼｮｳｶ？0#G","[UNTRANSLATED]","Welcome. How may I help you?",byId,1.00
s_000045,Alshark (System disk).hdm,0x05274E,"支配人5安ｲ・綺麗・安心ﾉＰＴホテルでござｲﾏｽ。@ご宿泊ﾊ、１０クレジットﾆﾅﾘﾏｽが？0#Y","[UNTRANSLATED]","Welcome to the PT Hotel: cheap, clean, and safe! A room is 10 CREDIT. Stay the night?",byId,1.00
s_000046,Alshark (System disk).hdm,0x052E24,"アルバイトで在庫整理ﾔｯﾃﾝだｹど、１人じｬ大変で・・・。0@ｿｳだ、手伝ｯﾃﾐﾅｲ？0#Y","[UNTRANSLATED]","I'm trying to sort the inventory, but I'm totally swamped... Hey, wanna help?",byId,1.00
s_000047,Alshark (System disk).hdm,0x053642,"達ﾉ捜ｼﾃﾙ女だｯﾀﾗ、宇宙港ﾍ行ｸﾉｦ見ｶｹﾀ奴がｲﾙぜ。@0ｵｿﾗｸ、惑星マｰズ行ｷﾉ航宙船ﾆﾉｯﾀﾝじｬﾈｪｶﾅ。#S","[UNTRANSLATED]","The woman you're looking for? Word is she went to the spaceport. Probably on a ship to Mars.",byId,1.00
s_000049,Alshark (System disk).hdm,0x053DEE,"ハイグレネｰドﾊ、市価じｬｱ@３２０クレジットだが、@２５％オフﾉ２４０クレジットで売ｯﾃﾔﾛｳ。0#Y","[UNTRANSLATED]","High Grenades go for 320 CREDIT on the street, but I'll sell you one for 240. 25% off.",byId,1.00
s_000050,Alshark (System disk).hdm,0x053E56,"目ｦﾂｹﾙﾄﾊ、@ﾅｶﾅｶﾔﾙじｬﾈｪｶ。0_出血大サｰビスで、@２３２０クレジットでどｳだ？0#Y","[UNTRANSLATED]","You've got a good eye. Tell you what, I'll cut my own throat... 2320 CREDIT?",byId,1.00
s_000051,Alshark (System disk).hdm,0x053EA7,"三ﾂ葉ﾉ紋章ｶ。@ｺｲﾂﾊﾁｮｯﾄ高ｲぜ。@手ﾆｲﾚﾙﾉが大変だｶﾗﾅ。0_１２００クレジットでどｳだ？0#Y","[UNTRANSLATED]","The three-leaf crest... That's a rare one, and tough to get. It'll cost you. 1200 CREDIT?",byId,1.00
s_000052,Alshark (System disk).hdm,0x054C4F,"航行不能状態ﾉ民間航宙6艇だｯﾀ。@6ｿｼﾃ、ｿﾉ影ﾆ隠ﾚﾙﾖｳﾆ@6ｼﾃ接舷ｼﾃｲﾀﾉﾊ‥‥‥0#Z","[UNTRANSLATED]","A civilian ship, dead in the water. And using it for cover, another ship...",byId,1.00
s_000053,Alshark (System disk).hdm,0x0550F8,"心外だﾈ・・・ﾏｱ、ｲｲ。行ｺｳｶ。0_4シャイナ5ﾁｮｯﾄ、私ﾉ質問ﾆ答ｴﾅｻｲﾖ！！0_仮ﾆﾓ、マｰズ連邦最大ﾉ兵器メｰカｰ、パｰフェクトテクニカル社ﾉ社長令嬢ｦ前ﾆｼﾃ失礼じｬﾅｲ！！0_4ゾリアス兵5だｧｰ！ｳﾙｾｪ小娘だ！@殺ｼﾃﾔﾙ！！0#V","[UNTRANSLATED]","Hmph. Fine. Let's go. Hey! Answer me! My father runs Perfect Technical, the Federation's top arms maker! You can't just ignore me! Gah! Annoying brat! I'll shut you up for good!",byId,1.00
s_000055,Alshark (System disk).hdm,0x055811,"２本ﾉ後ﾛﾍ長ｸ伸びﾀ金髪ｦ@6振ﾘ乱ｼ、右肩ﾆ搭載ｻﾚﾀ小型6核融合炉ｶﾗ発ｾﾗﾚﾙタｰビン6ﾉ回転音ｦ低ｸ響ｶｾﾅがﾗ、女6ﾊ立ｯﾃｲﾀ。0#Z","[UNTRANSLATED]","The woman stood, her long blonde hair whipping as the mini-fusion reactor on her shoulder hummed.",byId,1.00
s_000056,Alshark (System disk).hdm,0x055922,"が反応ｽﾙﾖﾘ6ﾓ早ｸゾリアス兵ﾊ、シャイナｦ6盾ﾆﾄｯﾃ、ｿﾉ喉ﾓﾄﾆ銃口ｦ6突ｷﾂｹﾃｲﾀ。0#Z","[UNTRANSLATED]","In a flash, the Zolius soldier grabbed Shaina, gun to her throat.",byId,1.00
s_000057,Alshark (System disk).hdm,0x055B74,"方ﾍ突ｷ飛6ばｽﾄ同時ﾆ、エアロックﾍﾄ走6ﾘ込ﾝだﾉでｱﾙ。@#V","[UNTRANSLATED]","Shoving them aside, she dashed into the airlock.",byId,1.00
s_000058,Alshark (System disk).hdm,0x055CDC,"がシャイナﾄ6並ﾝでﾐﾃ、ｿﾉ大ｷｻﾆ改ﾒﾃ6驚ｲﾀ。彼女ﾉ身長ﾊ、優ﾆ２メ6ｰトルﾊ越ｴﾙだﾛｳ。0#Z","[UNTRANSLATED]","Next to Shaina, her height was shocking. She had to be over 2 meters tall.",byId,1.00
s_000059,Alshark (System disk).hdm,0x055F60,"達ﾊ、女戦士ﾆ6ﾅｶば連行ｻﾚﾙﾖｳﾆｼﾃ、@6コズミックホｰクﾉステｰション6ﾍ行ｸｺﾄﾆﾅﾙ。0#S","[UNTRANSLATED]","The warrior woman practically dragged them to the Cosmic Hawk's station.",byId,1.00
s_000060,Alshark (System disk).hdm,0x05680A,"貴方が持ｯﾃｲﾙサイコリングｦ貸ｼﾃﾓﾗｴﾅｲだﾛｳｶ。0_6ベックﾊ、一瞬、困惑ﾉ表情ｦ@6見ｾﾀ。0#P","[UNTRANSLATED]","Let me borrow your Psycho Ring. Beck looked confused for a moment.",byId,1.00
s_000061,Alshark (System disk).hdm,0x056AF6,"だが、ｿﾉリングでﾊ、サイコ@ジェネレｰタｰぐﾗｲｶﾗｼｶ@身ｦ守ﾙｺﾄﾊでｷﾇ。0#P","[UNTRANSLATED]","That ring's only good against something like a Psycho Generator.",byId,1.00
s_000062,Alshark (System disk).hdm,0x056EC1,"作戦が成功ｼﾃ、ラッセル@ガイヤｰﾉ主動力ｦ爆破ｼﾀﾄｼﾃﾓ、本体ﾏで破壊ｽﾙｺﾄﾊ@到底ｶﾅﾜﾅｲだﾛｳ。0#P","[UNTRANSLATED]","Blowing up the Russelgaia's engine won't be enough to destroy the whole ship.",byId,1.00
s_000064,Alshark (System disk).hdm,0x057089,"イｰストサイドホテル5ｲﾗｯｼｬｲﾏｾ。@ご宿泊ﾊ、１０クレジットﾆﾅﾘﾏｽが？0#Y","[UNTRANSLATED]","East Side Hotel. Welcome! A room's 10 CREDIT. Wanna stay?",byId,1.00
s_000065,Alshark (System disk).hdm,0x057154,"セントラル・テスウィル5ﾖｳｺｿ、ｲﾗｯｼｬｲﾏｼﾀ。0_全ﾃﾉサｰビス料ｦ含ﾒﾏｼﾃ、３０クレジットﾆﾅﾘﾏｽが、ご宿泊ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Welcome to the Central Teswil. A room is 30 CREDIT, all-inclusive. Will you be staying with us?",byId,1.00
s_000067,Alshark (System disk).hdm,0x057695,"スクラッパｰズ商会5ヘイ！！ｯﾗｯｼｬｲ。@スクラップﾆ関ｽﾙご用命ﾊ、全ﾃ承ﾘﾔｼｮｳ。0#G","[UNTRANSLATED]","Scrappers Co. Hey, welcome! If it's about SCRAP, you've come to the right place.",byId,1.00
s_000068,Alshark (System disk).hdm,0x05794A,"客ｻﾝ！掘ﾘ出ｼ物がｱﾙﾝでｽｹど、５００クレジットでｲｶがでｽｶ？0_中古でｽｹど、ﾏだﾏだ使ｴﾙジェットホバｰでｽﾖ！@@@43買ｲﾏｽｶ？0#Y","[UNTRANSLATED]","Hey! Got a real gem for ya, 500 CREDIT. It's a used Jet Hover, but she still runs like a dream! So, you buyin'?",byId,1.00
s_000069,Alshark (System disk).hdm,0x059BC5,"ラッセルガイヤｰﾉ@航路が割ﾘ出ｾﾀぞ！@急ｲで、アトライアﾆ引ｷ上げﾙﾝじｬｨ！#S","[UNTRANSLATED]","I've got the Russelgaia's flight path! Get back to the Atlia on the double!",byId,1.00
s_000070,Alshark (System disk).hdm,0x05B067,"ＰＴホテル　イン　ザジル5ご宿泊でｼﾀﾗ、２０クレジットﾆﾅﾘﾏｽが？0#Y","[UNTRANSLATED]","Welcome to the PT Hotel in Zajil. A room is 20 CREDIT. Staying?",byId,1.00
s_000071,Alshark (System disk).hdm,0x05B1B2,"スクラッパｰズ5ﾎｲ　ﾎｲ　ﾎｲ　ﾎｲ。@スクラップがﾎｼｹﾘｬ、好ｷﾅだｹ持ｯﾃｷﾅ。0#P","[UNTRANSLATED]","Scrappers. C'mon, c'mon. Need SCRAP? Help yourself to the pile.",byId,1.00
s_000072,Alshark (System disk).hdm,0x05B519,"少々、痛ｲ目ｦ見ﾅｲﾄﾜｶﾝﾈｪﾖｳだﾅ。0_貴様ﾗ、ウジ虫どﾓﾉ腕ﾉ１本ﾔ２本、合法的ﾆﾍｼ折ｯﾃﾔﾙｺﾄﾓでｷﾙﾝだぜ。0#P","[UNTRANSLATED]","Looks like you need a painful lesson. I'm legally allowed to break an arm or two, maggots.",byId,1.00
s_000073,Alshark (System disk).hdm,0x05BC57,"が、頭ﾉ切ﾚﾙ奴で、@着任後、ゾリアス軍ﾉ前線ﾆ@ｵｹﾙ破壊活動ﾉ総指揮ﾏで任ｻﾚﾃｲﾙﾗｼｲ。0#P","[UNTRANSLATED]","He's a sharp one. They put him in charge of all Zolius frontline sabotage.",byId,1.00
s_000075,Alshark (System disk).hdm,0x05BD80,"基地ﾆﾊ、総司令官ﾉビｰスト・バイデンﾓｲﾂﾓﾅﾗｲﾙﾊず@ﾅﾝだが、ララウェルﾆ呼ばﾚﾃ今ﾊ、留守ﾆｼﾃｲﾙ。0#P","[UNTRANSLATED]","Commander Beast Bayden is usually at the base, but Lalawel summoned him away.",byId,1.00
s_000076,Alshark (System disk).hdm,0x05C0AD,"達が、司令室ﾆ入ｯﾃｲｸ6ﾄ、正面ﾉテｰブルﾆ腰掛ｹﾃ@6ｲﾀ人物が立ﾁ上がﾘ、ジョｰﾆ6向ｶｯﾃ右手ｦ差ｼ出ｼﾀ。0#P","[UNTRANSLATED]","Upon entering the command room, a man sitting on the table ahead rose and held out his hand to Joe.",byId,1.00
s_000077,Alshark (System disk).hdm,0x05C145,"ジョｰ・コンプスン。@皆、スクラップ・ジョｰﾄ呼ﾝどﾙ。0#P","[UNTRANSLATED]","The name's Joe Compson. Most folks call me Scrap Joe.",byId,1.00
s_000081,Alshark (System disk).hdm,0x05CDEC,"惑星ビュｰトﾊ、@マｰズ連邦ﾉ第１開発計画ﾉ対象ﾆﾅｯﾃｲﾙＭ８６１恒星系ﾆ@ｱﾘﾏｽ。0#P","[UNTRANSLATED]","Planet Bute is in the M861 system, a Phase 1 Mars Federation colony.",byId,1.00
s_000082,Alshark (System disk).hdm,0x05CE38,"研究室ﾆ行ｹば、恒星間移動ﾉ@でｷﾙエンジンｦ支給ｼﾃｸﾚﾙﾊずでｽ。0#G","[UNTRANSLATED]","Head to the lab. They'll give you an interstellar drive.",byId,1.00
s_000083,Alshark (System disk).hdm,0x05D042,"ベスタｰ准将ﾊ、部屋ﾉ明ｶﾘ@6ｦ消ｼ、モニタｰﾉスイッチｦｲ6ﾚﾙﾄ、今回ﾉ任務ﾆﾂｲﾃ説明6ｦ始ﾒﾀ。0#P","[UNTRANSLATED]","Vester dimmed the lights, turned on the monitor, and started to explain the mission.",byId,1.00
s_000084,Alshark (System disk).hdm,0x05D099,"ずﾊ、ｺﾉ写真ｦ見ﾃﾓﾗｵｳ0_6彼がｿｳｲｳﾄ、１枚ﾉ写真が@6モニタｰ上ﾆ投影ｻﾚﾀ。0#P","[UNTRANSLATED]","'First, take a look at this.' A photo appeared on the monitor.",byId,1.00
s_000086,Alshark (System disk).hdm,0x05D723,"今回ﾉｺﾄで連邦ﾉ上層部ﾆﾊ、前ﾆﾓ@増ｼﾃ私ﾉ株ｦ上げﾙ事がでｷﾀﾖ。ｱﾘがﾄｳ。0#V","[UNTRANSLATED]","Thanks to you, I'm in good with the Federation brass. I owe you one.",byId,1.00
s_000087,Alshark (System disk).hdm,0x05DA2C,"達ﾊ捕ﾗｴﾗﾚ、6拘留ｻﾚﾃｼﾏｯﾀ。0_6ｿﾉ３ヶ月後、マｰズ連邦ﾊ、@6予告無ｼﾆゾリアスｶﾗﾉ攻撃ｦ6受ｹ、ｿﾉ機能ﾉﾎﾄﾝどｦ壊滅6ﾆ追ｲﾔﾗﾚﾀ。0#G","[UNTRANSLATED]","They were captured and imprisoned. Three months later... Zolius struck without warning. The Mars Federation was left in ruins.",byId,1.00
s_000088,Alshark (System disk).hdm,0x05DBB9,"兵士ﾉ言葉が終ﾜﾙ6前ﾆ行動ｦ起ｺｼﾃｲﾀ。@6兵士ﾊ、痛ﾐｦ感じﾙ間ﾓﾅｸ@6通路ﾆ横ﾀﾜﾘ、沈黙ｼﾀ。0#V","[UNTRANSLATED]","He moved before the soldier finished speaking. The man hit the floor, silenced forever.",byId,1.00
s_000089,Alshark (System disk).hdm,0x05ECE5,"私ﾊ、マｰズ連邦ﾆ戻ｯﾃ、@連邦軍ﾉ頭ﾉ固ｲ連中ｦ相手ﾆ、協力ｼﾃｸﾚﾙﾖｳﾆ説得ｼﾃ@ﾐﾏｼｮｳ。0#K","[UNTRANSLATED]","I'll head back to the Mars Federation. I'll try to reason with those military stiffs.",byId,1.00
s_000090,Alshark (System disk).hdm,0x05EEF8,"ウェルダｻﾝﾊ、特殊精神波ﾆ@打ﾁ勝ﾂｺﾄがでｷﾙｶﾓ‥‥0_4$
5ﾅﾗ、私ﾓ協力ｼﾖｳ。@ﾀぶﾝ、ｺｺノｰザンﾉ砦ﾅﾗ、何ｶﾂｶﾒﾙだﾛｳ。0#W","[UNTRANSLATED]","Werda might be able to resist those special psychic waves... $ Then I'll help. We might find a lead at the fortress here.",byId,1.00
s_000091,Alshark (System disk).hdm,0x05F4A7,"惑星ザジル行ｷﾉチケットﾊ、@１００クレジットﾆﾅﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Ticket to Zajil: 100 CREDIT. Buy one?",byId,1.00
s_000092,Alshark (System disk).hdm,0x05F4FE,"惑星ステア行ｷﾉチケットﾊ、@１２０クレジットﾆﾅﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Ticket to Stea: 120 CREDIT. Interested?",byId,1.00
s_000093,Alshark (System disk).hdm,0x05F555,"惑星ジュｰク行ｷﾉチケットﾊ、２４０クレジットﾆﾅﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","A ticket to Juke runs 240 CREDIT. Want it?",byId,1.00
s_000094,Alshark (System disk).hdm,0x05F9AA,"惑星ジュｰク行ｷﾉチケットﾊ、２２０クレジットﾆﾅﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Heading to Juke? That'll be 220 CREDIT.",byId,1.00
s_000095,Alshark (System disk).hdm,0x05FA01,"惑星マｰズ行ｷﾉチケットﾊ、@１２０クレジットﾆﾅﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","To Mars, it's 120 CREDIT. Need a ticket?",byId,1.00
s_000096,Alshark (System disk).hdm,0x05FA59,"だ今、私どﾓでﾊ、@惑星ジュｰクﾍﾉ往復チケットｦ３００クレジットﾆﾃ販売ｻｾﾃ頂ｲﾃｵﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Special offer! Round-trip ticket to Juke, just 300 CREDIT! Interested?",byId,1.00
s_000097,Alshark (System disk).hdm,0x05FACF,"だ今、私どﾓでﾊ、@惑星マｰズﾍﾉ往復チケットｦ@２００クレジットﾆﾃ販売ｻｾﾃ頂ｲﾃｵﾘﾏｽ。@ご利用ﾅｻｲﾏｽｶ？0#Y","[UNTRANSLATED]","Round-trip tickets to Mars are on sale for 200 CREDIT. Care to buy one?",byId,1.00
s_000098,Alshark (System disk).hdm,0x060091,"ウェポン・カイナン5ｱﾉ赤ｲモンスタｰﾆﾊ、@プラズマガンがﾖｸ効ｸぜ！0#G","[UNTRANSLATED]","That red monster? Hit it with a plasma gun! Works like a charm.",byId,1.00
s_000099,Alshark (System disk).hdm,0x0600DA,"スクラップ交換所5スクラップが必要ﾅﾗ、ｲﾂでﾓどｳぞ。0#P","[UNTRANSLATED]","Need SCRAP? You've come to the right place.",byId,1.00
